Time Elapsed (s),Total Energy,Algae Population,Algae Energy,Ciliate Population,Ciliate Energy
1,47.42000000000001,33,33,10,14.42000000000001
2,50.95000000000001,35,35,10,15.95000000000001
3,50.95000000000001,35,35,10,15.95000000000001
4,50.95000000000001,35,35,10,15.95000000000001
5,50.95000000000001,35,35,10,15.95000000000001
6,50.95000000000001,35,35,10,15.95000000000001
7,50.930000000000014,35,35,10,15.930000000000016
8,56.34,37,37,10,19.340000000000007
9,62.75000000000001,41,41,10,21.750000000000007
10,69.16000000000005,44,44,10,25.16000000000006
11,74.52900000000007,48,48,11,26.52900000000007
12,77.85900000000007,48,48,12,29.859000000000073
13,81.15100000000005,48,48,12,33.15100000000005
14,86.45500000000007,47,47,12,39.45500000000007
15,93.77100000000004,52,52,12,41.77100000000004
16,96.44700000000003,53,53,12,43.447000000000024
17,97.73899999999998,49,49,12,48.73899999999997
18,102.36699999999993,49,49,12,53.36699999999994
19,102.36699999999993,49,49,12,53.36699999999994
20,102.36699999999993,49,49,12,53.36699999999994
21,102.36699999999993,49,49,12,53.36699999999994
22,102.36699999999993,49,49,12,53.36699999999994
23,103.17499999999993,50,50,12,53.17499999999992
24,106.45499999999993,46,46,12,60.45499999999993
25,115.74699999999999,53,53,12,62.74699999999998
26,117.03900000000004,51,51,12,66.03900000000004
27,121.31900000000017,53,53,12,68.31900000000017
28,131.62100000000032,59,59,9,72.62100000000031
29,139.08100000000042,66,66,9,73.08100000000043
30,145.50400000000053,74,74,10,71.50400000000053
31,151.90400000000068,79,79,10,72.90400000000066
32,158.32400000000075,82,82,10,76.32400000000077
33,160.28400000000076,84,84,10,76.28400000000076
34,160.28400000000076,84,84,10,76.28400000000076
35,160.28400000000076,84,84,10,76.28400000000076
36,160.28400000000076,84,84,10,76.28400000000076
37,162.06400000000082,85,85,10,77.06400000000082
38,168.4840000000009,87,87,10,81.4840000000009
39,175.8710000000011,93,93,12,82.87100000000109
40,178.10200000000128,89,89,14,89.10200000000127
41,186.26200000000142,91,91,14,95.26200000000144
42,195.43600000000163,96,96,14,99.43600000000161
43,200.55900000000184,93,93,15,107.55900000000184
44,204.6740000000021,94,94,15,110.67400000000211
45,205.78900000000237,90,90,15,115.78900000000237
46,213.86800000000267,92,92,16,121.86800000000265
47,215.92400000000302,90,90,16,125.92400000000302
48,218.98000000000349,91,91,16,127.98000000000349
49,226.03600000000387,95,95,16,131.03600000000387
50,179.28200000000209,99,99,12,80.2820000000021
51,180.49700000000223,95,95,14,85.49700000000225
52,185.68500000000236,93,93,14,92.68500000000236
53,191.83100000000252,90,90,14,101.83100000000252
54,200.00500000000275,92,92,14,108.00500000000275
55,197.19100000000225,93,93,13,104.19100000000223
